title,uploader,episode_day,url,frame_namefile,words,result,clue,explanation,solution
La Ghigliottina - L'EreditÃ  09/11/2024',Rai,09/11/2024,https://www.youtube.com/watch?v=Poius8_Za_s,09-11-2024.jpg,"PIZZA,BABY,CERA,RISO,OMBRA,50.000","```json
{
  ""clue"": [
    ""PIZZA"",
    ""BABY"",
    ""CERA"",
    ""RISO"",
    ""OMBRA""
  ],
  ""explanation"": [
    ""Esiste la pizza cono (a forma di cono)"",
    ""Coppetta Baby o cono Baby (per i piccoli)"",
    ""Cono per la pulizia dell'orecchio (Cono di cera)"",
    ""Il cono con dentro i chicchi di riso (fuori dalla chiesa/municipio)"",
    ""Il cono d'ombra""
  ],
  ""solution"": ""CONO""
}
```","['PIZZA', 'BABY', 'CERA', 'RISO', 'OMBRA']","['Esiste la pizza cono (a forma di cono)', 'Coppetta Baby o cono Baby (per i piccoli)', ""Cono per la pulizia dell'orecchio (Cono di cera)"", 'Il cono con dentro i chicchi di riso (fuori dalla chiesa/municipio)', ""Il cono d'ombra""]",CONO
La Ghigliottina - L'EreditÃ  08/11/2024',Rai,08/11/2024,https://www.youtube.com/watch?v=tqxyhUy_jyQ,08-11-2024.jpg,"CARATTERE,MADRE,PROVA,QUATTRO STELLE,UDIENZA,12.500","```json
{
  ""clue"": [
    ""CARATTERE"",
    ""MADRE"",
    ""PROVA"",
    ""QUATTRO STELLE"",
    ""UDIENZA""
  ],
  ""explanation"": [
    ""Carattere come generale (non specificato, ma viene associato all'aggettivo generale)"",
    ""Madre generale nei conventi, quella che dirige il convento o la congregazione"",
    ""Prova generale prima del debutto"",
    ""Quattro stelle nell'esercito sono gradi, come generale"",
    ""Udienza generale, quella del Santo Padre""
  ],
  ""solution"": ""GENERALE""
}
```","['CARATTERE', 'MADRE', 'PROVA', 'QUATTRO STELLE', 'UDIENZA']","[""Carattere come generale (non specificato, ma viene associato all'aggettivo generale)"", 'Madre generale nei conventi, quella che dirige il convento o la congregazione', 'Prova generale prima del debutto', ""Quattro stelle nell'esercito sono gradi, come generale"", 'Udienza generale, quella del Santo Padre']",GENERALE
La Ghigliottina - L'EreditÃ  07/11/2024',Rai,07/11/2024,https://www.youtube.com/watch?v=3sWyeERif2c,07-11-2024.jpg,"BRUTTO,COSTUME,ANNI,PIU,QUATTRO,40.Uuu","```json
{
  ""clue"": [
    ""brutto"",
    ""costume"",
    ""anni"",
    ""piu"",
    ""quattro""
  ],
  ""explanation"": [
    ""Un brutto segno (riferimento a 'Un brutto segno' di Sherlock Holmes)"",
    ""Un segno di costume (nel senso di abitudine o, come poi specificato, il segno del costume da bagno dopo l'abbronzatura)"",
    ""Il segno degli anni (il cambiamento/invecchiamento che si vede)"",
    ""Resta il segno più (per essere arrivato fin qui)"",
    ""Il segno dei quattro (riferimento a 'Il segno dei quattro' di Sherlock Holmes)""
  ],
  ""solution"": ""segno""
}
```","['brutto', 'costume', 'anni', 'piu', 'quattro']","[""Un brutto segno (riferimento a 'Un brutto segno' di Sherlock Holmes)"", ""Un segno di costume (nel senso di abitudine o, come poi specificato, il segno del costume da bagno dopo l'abbronzatura)"", 'Il segno degli anni (il cambiamento/invecchiamento che si vede)', 'Resta il segno più (per essere arrivato fin qui)', ""Il segno dei quattro (riferimento a 'Il segno dei quattro' di Sherlock Holmes)""]",SEGNO
La Ghigliottina - L'EreditÃ  06/11/2024',Rai,06/11/2024,https://www.youtube.com/watch?v=o2gr07wC4XU,06-11-2024.jpg,"SALTARE,FUORI,PAROLE,MIKE,CONSEGNE,87.500","```json
{
  ""clue"": [
    ""SALTARE"",
    ""FUORI"",
    ""PAROLE"",
    ""MIKE"",
    ""CONSEGNE""
  ],
  ""explanation"": [
    ""Saltare come si fa con la corda per allegria, o come nel gioco dell'oca quando c'è una penalità (fuori giro)."",
    ""Uscire fuori con una bella compagnia per una serata piacevole (allegria)."",
    ""Parole in allegria, oppure testi comici/ironici che fanno sorridere (portano pensieri positivi/allegria)."",
    ""Mike fece una trasmissione molto fortunata negli anni 80 che si chiamava 'Giro Mike'."",
    ""Consegne fatte fischiettando in allegria (come i vecchi fattorini del latte/pane) o come il suo giro di consegne.""
  ],
  ""solution"": ""GIRO""
}
```","['SALTARE', 'FUORI', 'PAROLE', 'MIKE', 'CONSEGNE']","[""Saltare come si fa con la corda per allegria, o come nel gioco dell'oca quando c'è una penalità (fuori giro)."", 'Uscire fuori con una bella compagnia per una serata piacevole (allegria).', 'Parole in allegria, oppure testi comici/ironici che fanno sorridere (portano pensieri positivi/allegria).', ""Mike fece una trasmissione molto fortunata negli anni 80 che si chiamava 'Giro Mike'."", 'Consegne fatte fischiettando in allegria (come i vecchi fattorini del latte/pane) o come il suo giro di consegne.']",GIRO
La Ghigliottina - L'EreditÃ  05/11/2024',Rai,05/11/2024,https://www.youtube.com/watch?v=IIvECJOikKY,05-11-2024.jpg,"METTERE,RICERCA,FOTO,PARROCCHIALE,RAI,25.000","```json
{
  ""clue"": [""METTERE"", ""RICERCA"", ""FOTO"", ""PARROCCHIALE"", ""RAI""],
  ""explanation"": [
    ""METTERE in archivio, cioè conservare."",
    ""Ricerca di archivio, una ricerca che si fa consultando l'archivio."",
    ""Foto d'archivio, cioè di repertorio."",
    ""Archivio parrocchiale, dove si conservano i documenti (matrimoni, battesimi)."",
    ""Archivio Rai, monumento al sapere con il preziosissimo archivio Rai.""
  ],
  ""solution"": ""ARCHIVIO""
}
```","['METTERE', 'RICERCA', 'FOTO', 'PARROCCHIALE', 'RAI']","['METTERE in archivio, cioè conservare.', ""Ricerca di archivio, una ricerca che si fa consultando l'archivio."", ""Foto d'archivio, cioè di repertorio."", 'Archivio parrocchiale, dove si conservano i documenti (matrimoni, battesimi).', 'Archivio Rai, monumento al sapere con il preziosissimo archivio Rai.']",ARCHIVIO
La Ghigliottina - L'EreditÃ  04/11/2024',Rai,04/11/2024,https://www.youtube.com/watch?v=t4qffSSgJzk,04-11-2024.jpg,"LATINO,OPERA,TEMPO,LEGGENDA,BACIO,90.0uu","```json
{
  ""clue"": [""LATINO"", ""OPERA"", ""TEMPO"", ""LEGGENDA"", ""BACIO""],
  ""explanation"": [
  ""Rock latino (Latin Rock)"",
  ""Opera rock"",
  ""Tempo di rock"",
  ""Una leggenda del rock come Elvis the pelvis"",
  ""Il tuo bacio è come Rock""
  ],
  ""solution"": ""ROCK""
}
```","['LATINO', 'OPERA', 'TEMPO', 'LEGGENDA', 'BACIO']","['Rock latino (Latin Rock)', 'Opera rock', 'Tempo di rock', 'Una leggenda del rock come Elvis the pelvis', 'Il tuo bacio è come Rock']",ROCK
La Ghigliottina - L'EreditÃ  03/11/2024',Rai,03/11/2024,https://www.youtube.com/watch?v=0WNGDSVRD00,03-11-2024.jpg,"GiOco,FUTURO,PRESA,PRIMA,NOTTURNA,21.250","```json
{
  ""clue"": [
    ""GIOCO"",
    ""FUTURO"",
    ""PRESA"",
    ""PRIMA"",
    ""NOTTURNA""
  ],
  ""explanation"": [
    ""Visione di gioco (come tifoso della Lazio)"",
    ""La corsa al futuro è una visione del futuro"",
    ""Presa visione (facilissimo)"",
    ""In prima visione (come un film)"",
    ""Visione notturna (che hanno molti animali come i gatti)""
  ],
  ""solution"": ""VISIONE""
}
```","['GIOCO', 'FUTURO', 'PRESA', 'PRIMA', 'NOTTURNA']","['Visione di gioco (come tifoso della Lazio)', 'La corsa al futuro è una visione del futuro', 'Presa visione (facilissimo)', 'In prima visione (come un film)', 'Visione notturna (che hanno molti animali come i gatti)']",VISIONE
La Ghigliottina - L'EreditÃ  02/06/2024',Rai,02/06/2024,https://www.youtube.com/watch?v=taAx6qVv1uQ,02-06-2024.jpg,"FIGURA,CORRENTE,CONTA,RIVOLGERE,GRAZIE,20.000","```json
{
  ""clue"": [
    ""FIGURA"",
    ""CORRENTE"",
    ""CONTA"",
    ""RIVOLGERE"",
    ""GRAZIE""
  ],
  ""explanation"": [
    ""figura di pensiero (come l'allegoria)"",
    ""corrente di pensiero (un gruppo di persone che hanno un'idea)"",
    ""il pensiero che conta"",
    ""rivolgere un pensiero a qualcuno o a qualcosa"",
    ""grazie del pensiero""
  ],
  ""solution"": ""PENSIERO""
}
```","['FIGURA', 'CORRENTE', 'CONTA', 'RIVOLGERE', 'GRAZIE']","[""figura di pensiero (come l'allegoria)"", ""corrente di pensiero (un gruppo di persone che hanno un'idea)"", 'il pensiero che conta', 'rivolgere un pensiero a qualcuno o a qualcosa', 'grazie del pensiero']",PENSIERO
La Ghigliottina - L'EreditÃ  01/06/2024',Rai,01/06/2024,https://www.youtube.com/watch?v=ZO6bLC2QZS8,01-06-2024.jpg,"PERSONA,PROSSIMO,PROVA,MEDICO,INIEZIONE,4.063","```json
{
  ""clue"": [
    ""PERSONA"",
    ""PROSSIMO"",
    ""PROVA"",
    ""MEDICO"",
    ""INIEZIONE""
  ],
  ""explanation"": [
    ""Persona di fiducia (qualcuno di affidabile a cui ci si può affidare)."",
    ""Dare fiducia al prossimo (non essere diffidente)."",
    ""Prova di fiducia (attività teatrale in cui ci si lascia cadere fidandosi di essere sostenuti)."",
    ""Medico di fiducia (quello che sta nello studio medico)."",
    ""Iniezione di fiducia.""
  ],
  ""solution"": ""FIDUCIA""
}
```","['PERSONA', 'PROSSIMO', 'PROVA', 'MEDICO', 'INIEZIONE']","['Persona di fiducia (qualcuno di affidabile a cui ci si può affidare).', 'Dare fiducia al prossimo (non essere diffidente).', 'Prova di fiducia (attività teatrale in cui ci si lascia cadere fidandosi di essere sostenuti).', 'Medico di fiducia (quello che sta nello studio medico).', 'Iniezione di fiducia.']",FIDUCIA
La Ghigliottina - L'EreditÃ  31/05/2024',Rai,31/05/2024,https://www.youtube.com/watch?v=46Txpi16fis,31-05-2024.jpg,"PIANTA,PIEDE,oCCHI,NASO,SPIRITO,42.500","```json
{
  ""clue"": [
    ""PIANTA"",
    ""PIEDE"",
    ""OCCHI"",
    ""NASO"",
    ""SPIRITO""
  ],
  ""explanation"": [
    ""La pianta prende vita nel senso che il seme dà vita alla pianta, quindi la pianta è vita."",
    ""C'è la vita, testa spalla gambe e piedi, si dice di avere la vita negli occhi (anche se l'aggancio qui è un po' debole, si riferisce alla connessione 'vita' generale, ma il conduttore poi associa vita ai piedi tramite la sequenza corporea)."",
    ""Si dice di avere la vita negli occhi, nel senso di vedere tutta la vita davanti agli occhi o quando passa la vita davanti agli occhi."",
    ""Nessun aggancio diretto evidente fornito dal giocatore."",
    ""Il giocatore non è convinto di nessun aggancio, ma l'indizio finale suggerisce un legame tramite 'patata' e 'occhio della patata', anche se non è la spiegazione completa.""
  ],
  ""solution"": ""PATATA""
}
```","['PIANTA', 'PIEDE', 'OCCHI', 'NASO', 'SPIRITO']","['La pianta prende vita nel senso che il seme dà vita alla pianta, quindi la pianta è vita.', ""C'è la vita, testa spalla gambe e piedi, si dice di avere la vita negli occhi (anche se l'aggancio qui è un po' debole, si riferisce alla connessione 'vita' generale, ma il conduttore poi associa vita ai piedi tramite la sequenza corporea)."", 'Si dice di avere la vita negli occhi, nel senso di vedere tutta la vita davanti agli occhi o quando passa la vita davanti agli occhi.', 'Nessun aggancio diretto evidente fornito dal giocatore.', ""Il giocatore non è convinto di nessun aggancio, ma l'indizio finale suggerisce un legame tramite 'patata' e 'occhio della patata', anche se non è la spiegazione completa.""]",PATATA
La Ghigliottina - L'EreditÃ  30/05/2024',Rai,30/05/2024,https://www.youtube.com/watch?v=SurgqKmReeg,30-05-2024.jpg,"FARE,ALTA,TAVOLINO,BIANCO,BIANCA,26.250","```json
{
  ""clue"": [""FARE"", ""ALTA"", ""TAVOLINO"", ""BIANCO"", ""BIANCA""],
  ""explanation"": [
  ""sul fare della notte (o fare notte)"",
  ""notte alta (o canzone \""Notte Alta\"")"",
  ""tavolino da notte"",
  ""notte bianca"",
  ""notte bianca""
  ],
  ""solution"": ""NOTTE""
}
```","['FARE', 'ALTA', 'TAVOLINO', 'BIANCO', 'BIANCA']","['sul fare della notte (o fare notte)', 'notte alta (o canzone ""Notte Alta"")', 'tavolino da notte', 'notte bianca', 'notte bianca']",NOTTE
La Ghigliottina - L'EreditÃ  29/05/2024',Rai,29/05/2024,https://www.youtube.com/watch?v=IVfML1fkZu8,29-05-2024.jpg,"CORRIDOIO,DESTRA,TENDE,MUSEO,TELEFONO,11.250","```json
{
  ""clue"": [""CORRIDOIO"", ""DESTRA"", ""TENDE"", ""MUSEO"", ""TELEFONO""],
  ""explanation"": [
  ""La guida è anche quel tappeto stretto e lungo che sta in un corridoio."",
  ""La guida a destra è quella che c'è qui in Italia (in contrapposizione alla guida a sinistra, come in Gran Bretagna)."",
  ""La guida delle tende dove scorrono le tende."",
  ""C'è anche la guida nel museo (riferimento alla guida turistica)."",
  ""La guida del telefono è l'elenco telefonico.""
  ],
  ""solution"": ""GUIDA""
}
```","['CORRIDOIO', 'DESTRA', 'TENDE', 'MUSEO', 'TELEFONO']","['La guida è anche quel tappeto stretto e lungo che sta in un corridoio.', ""La guida a destra è quella che c'è qui in Italia (in contrapposizione alla guida a sinistra, come in Gran Bretagna)."", 'La guida delle tende dove scorrono le tende.', ""C'è anche la guida nel museo (riferimento alla guida turistica)."", ""La guida del telefono è l'elenco telefonico.""]",GUIDA
La Ghigliottina - L'EreditÃ  28/05/2024',Rai,28/05/2024,https://www.youtube.com/watch?v=B-2gdvq2hOk,28-05-2024.jpg,"METTERE,FUORI,FORTE,ONORE,PRINCIPE,85.000","```json
{
  ""clue"": [
    ""METTERE"",
    ""FUORI"",
    ""FORTE"",
    ""ONORE"",
    ""PRINCIPE""
  ],
  ""explanation"": [
    ""Mano mano, come in \""mettere mano a un romanzo\"""",
    ""Fuorimano, come in \""posto un po' isolato, un po' fuorimano\"""",
    ""Mano forte, come in \""un poker, un gioco di carte, generalmente la mano forte\"""",
    ""Stretta di mano, come in \""una stretta di mano è un po' fatto d'onore\"""",
    ""Come chiamavano Mario Brega, \""er principe\""""
  ],
  ""solution"": ""PIAZZA""
}
```","['METTERE', 'FUORI', 'FORTE', 'ONORE', 'PRINCIPE']","['Mano mano, come in ""mettere mano a un romanzo""', 'Fuorimano, come in ""posto un po\' isolato, un po\' fuorimano""', 'Mano forte, come in ""un poker, un gioco di carte, generalmente la mano forte""', 'Stretta di mano, come in ""una stretta di mano è un po\' fatto d\'onore""', 'Come chiamavano Mario Brega, ""er principe""']",PIAZZA
La Ghigliottina - L'EreditÃ  27/05/2024',Rai,27/05/2024,https://www.youtube.com/watch?v=TnjJa02WfDQ,27-05-2024.jpg,"GIRO D'ITALIA,COLORI,SEXY,LA DOLCE VITA,LaSCiA 0 RADDOPPIA,10.625","```json
{
  ""clue"": [
    ""Giro d'Italia"",
    ""Colori"",
    ""Sexy"",
    ""La Dolce Vita"",
    ""Lascia o Raddoppia""
  ],
  ""explanation"": [
    ""Totò al Giro d'Italia fin del 48"",
    ""Totò a colori fin del 52 primo a colori di Totò"",
    ""Totò sexy per la regia di Maria Mendola del 63"",
    ""Totò Peppino e la dolce vita del 61 che è una parodia"",
    ""Totò lascia un Raddoppia del 56 con la partecipazione straordinaria di Mike Bongiorno""
  ],
  ""solution"": ""Totò""
}
```","[""Giro d'Italia"", 'Colori', 'Sexy', 'La Dolce Vita', 'Lascia o Raddoppia']","[""Totò al Giro d'Italia fin del 48"", 'Totò a colori fin del 52 primo a colori di Totò', 'Totò sexy per la regia di Maria Mendola del 63', 'Totò Peppino e la dolce vita del 61 che è una parodia', 'Totò lascia un Raddoppia del 56 con la partecipazione straordinaria di Mike Bongiorno']",TOTÒ
La Ghigliottina - L'EreditÃ  26/05/2024',Rai,26/05/2024,https://www.youtube.com/watch?v=jJcXsQ7wOLI,26-05-2024.jpg,"PENNA,DOLORE,ROSSO,MAGICO,FUNGO,23.750","```json
{
  ""clue"": [""PENNA"", ""DOLORE"", ""ROSSO"", ""MAGICO"", ""FUNGO""],
  ""explanation"": [
  ""Pulsante sulla penna (parte superiore)"",
  ""Dolore pulsante (riferito a un dolore lancinante/improvviso)"",
  ""Pulsante rosso (pulsante di emergenza)"",
  ""Pulsante magico (riferimento a 'Goldrake', 'divento per galattico')"",
  ""Pulsante a forma di fungo (i pulsanti di emergenza hanno la forma di un fungo)""
  ],
  ""solution"": ""PULSANTE""
}
```","['PENNA', 'DOLORE', 'ROSSO', 'MAGICO', 'FUNGO']","['Pulsante sulla penna (parte superiore)', 'Dolore pulsante (riferito a un dolore lancinante/improvviso)', 'Pulsante rosso (pulsante di emergenza)', ""Pulsante magico (riferimento a 'Goldrake', 'divento per galattico')"", 'Pulsante a forma di fungo (i pulsanti di emergenza hanno la forma di un fungo)']",PULSANTE
