,clue,solution,spiegazione
10,"sciocco, dolce, spiffero, milano, pane",salame,"1. Sciocco: Il salame può essere considerato uno spuntino sciocco o poco salutare.
2. Dolce: Il salame al cioccolato è un dolce a base di salame tritato e cioccolato fuso.
3. Spiffero: Il salame può essere conservato in un luogo fresco e asciutto per evitare che si secchi o si rovini.
4. Milano: Il salame di Milano è un tipo di salame prodotto nella regione di Milano, in Italia.
5. Pane: Il salame è spesso servito con il pane come antipasto o spuntino.</s>"
11,"miraggio, cono, mani, madrina, bella",fata,"1. Miraggio: Le fate sono spesso associate a miraggi o illusioni.
2. Cono: Una fata può essere rappresentata come un cono con una punta appuntita e una gonna a campana.
3. Mani: Una fata può avere mani delicate e affusolate.
4. Madrina: Una fata madrina è un personaggio comune nelle fiabe e nelle storie per bambini.
5. Bella: Le fate sono spesso descritte come belle e attraenti.</s>"
12,"fiume, alice, carne, vita, figuraccia",magra,"1. Fiume: Il fiume Magra si trova in Italia.
2. Alice: Alice nel Paese delle Meraviglie è un personaggio immaginario creato da Lewis Carroll.
3. Carne: La carne magra è un tipo di carne con un basso contenuto di grassi.
4. Vita: Una vita magra è un'espressione che si riferisce a una persona che ha difficoltà a guadagnare peso.
5. Figuraccia: Una figuraccia può lasciare una persona a disagio o imbarazzata, proprio come una dieta magra può lasciare una persona affamata.</s>"
13,"porco, collo, libero, punta, staffa",piede,"1. Porco: Il porco ha quattro zampe e quattro piedi.
2. Collo: Il piede ha un collo che collega la caviglia al piede.
3. Libero: Il piede è un'estremità libera del corpo umano che permette di muoversi e camminare.
4. Punta: Il piede ha una punta che tocca il terreno quando si cammina o si corre.
5. Staffa: Una staffa è un supporto per il piede che si utilizza per montare a cavallo.</s>"
14,"figlio, tronco, fuori, scudetto, cardinale",petto,"1. Figlio: Il petto è una parte importante del corpo umano, compreso il cuore e i polmoni, che aiutano a mantenere in vita il figlio.
2. Tronco: Il petto è una parte del tronco del corpo umano.
3. Fuori: Il petto è una parte del corpo che si trova all'esterno del corpo.
4. Scudetto: Il petto è una parte del corpo che può essere utilizzata per mostrare lo scudetto o il simbolo di una squadra o di un'organizzazione.
5. Cardinale: Il cardinale è un ufficiale della Chiesa cattolica che indossa una veste rossa con un petto aperto.</s>"
15,"parmigiano, gonna, convento, seguire, tortura",ruota,"1. Parmigiano: Il formaggio parmigiano reggiano è spesso grattugiato con una ruota di formaggio.
2. Gonna: Una gonna a ruota è una gonna che si allarga verso l'esterno, proprio come una ruota.
3. Convento: Un convento è un luogo dove le persone seguono una regola o una religione, proprio come una ruota segue un percorso.
4. Seguire: Una ruota segue il percorso tracciato dalla strada o dal terreno.
5. Tortura: La tortura della ruota era una forma di punizione fisica che veniva inflitta alle persone colpevoli di crimini gravi.</s>"
16,"tigre, fumetto, pedone, stelle, tagliatelle",strisce,"1. Tigre: La tigre ha strisce nere sulla pelliccia.
2. Fumetto: I fumetti sono spesso disegnati con strisce orizzontali che rappresentano le vignette.
3. Pedone: Il pedone è una figura a forma di striscia che si muove sulle caselle di un gioco da tavolo come gli scacchi.
4. Stelle: Le stelle possono essere rappresentate come strisce di luce che brillano nel cielo notturno.
5. Tagliatelle: Le tagliatelle sono una pasta a forma di striscia che si serve in un piatto di pasta.</s>"
17,"animale, cavallo, paradiso, inter, 1861-1946",regno,"1. Animale: Il regno animale è una delle sette categorie della classificazione scientifica degli organismi viventi.
2. Cavallo: Il cavallo è un animale da tiro che appartiene al regno animale.
3. Paradiso: Il paradiso è un luogo ideale e perfetto, spesso descritto come un regno celeste.
4. Inter: L'Inter è una squadra di calcio italiana che ha vinto diversi campionati nazionali e internazionali.
5. 1861-1946: Il regno d'Italia è stato un regno costituzionale monarchico esistito dal 1861 al 1946, quando è stato abolito con un referendum popolare.</s>"
18,"capra, tartaruga, chiudere, oca, tradito",becco,"1. Capra: La capra ha un becco appuntito che usa per mangiare l'erba.
2. Tartaruga: La tartaruga ha un becco sulla bocca che usa per mordere e tagliare il cibo.
3. Chiudere: Il becco di un uccello può chiudersi per trattenere il cibo o l'acqua.
4. Oca: L'oca ha un becco lungo e curvo che usa per cercare il cibo nel terreno.
5. Tradito: Il becco può essere usato come simbolo di tradimento, come quando un uccello becca il cibo da un'altra persona.</s>"
19,"gonna, nazionale, carro, tenere, libera",ruota,"1. Gonna: Una gonna a ruota è una gonna che si allarga verso l'esterno, proprio come una ruota.
2. Nazionale: Una ruota nazionale è un simbolo patriottico che rappresenta un paese.
3. Carro: Un carro ha due o quattro ruote che permettono di muoversi sul terreno.
4. Tenere: Una ruota può essere tenuta ferma con un freno o un bloccasterzo.
5. Libera: Una ruota libera è una ruota che può girare liberamente senza essere bloccata.</s>"
20,"anello, cortina, vendere, filo, occhi",fumo,"1. Anello: L'anello di fumo è un anello di fumo che si forma quando si soffia il fumo da una sigaretta o da una pipa.
2. Cortina: Una cortina di fumo è una cortina di fumo che si forma quando si brucia qualcosa o quando si soffia il fumo da una sigaretta o da una pipa.
3. Vendere: Il fumo di sigaretta può essere venduto come prodotto del tabacco.
4. Filo: Il fumo può essere descritto come un filo sottile che si alza in aria.
5. Occhi: Il fumo può irritare gli occhi e causare lacrimazione.</s>"
21,"uomo, parola, piano, personale, ambiente",difesa,"1. Uomo: La difesa personale è una tecnica di autodifesa che insegna a proteggersi dagli attacchi fisici.
2. Parola: La difesa della parola è una tecnica di comunicazione che insegna a difendere le proprie opinioni e a rispondere alle critiche.
3. Piano: Il piano di difesa è un piano strategico che si utilizza per proteggere un paese o una città da un attacco esterno.
4. Personale: La difesa personale è una tecnica che si utilizza per proteggere se stessi e il proprio corpo.
5. Ambiente: La difesa dell'ambiente è un'azione che si intraprende per proteggere l'ambiente naturale e prevenire la distruzione delle risorse naturali.</s>"
22,"napoleone, inizio, mucchio, andare, grappa",monte,"1. Napoleone: Napoleone Bonaparte è stato un generale e imperatore francese che ha combattuto molte battaglie in montagna.
2. Inizio: Il monte Everest è il punto più alto del mondo e si trova all'inizio dell'Himalaya.
3. Mucchio: Un mucchio di neve si forma sul monte quando nevica.
4. Andare: Andare in montagna è un'attività all'aria aperta che si può praticare in estate o in inverno.
5. Grappa: La grappa è una bevanda alcolica che si produce distillando le vinacce, i residui della vinificazione, e che si può gustare in montagna dopo una lunga passeggiata.</s>"
23,"cono, vino, cinese, peter pan, governo",ombra,"1. Cono: Il cono gelato proietta un'ombra quando è al sole.
2. Vino: L'ombra di una vite può proteggere il vino dalla luce solare diretta.
3. Cinese: L'ombra cinese è una tecnica di proiezione di immagini che si ottiene utilizzando una sorgente di luce e un oggetto opaco.
4. Peter Pan: Peter Pan proietta un'ombra quando è al sole.
5. Governo: Il governo ombra è un governo che opera in segreto e che non è riconosciuto ufficialmente.</s>"
24,"ufficio, ragione, pronto, fuori, agitare",uso,"1. Ufficio: L'ufficio è uno spazio in cui si svolge un'attività lavorativa e in cui si utilizzano strumenti e attrezzature.
2. Ragione: L'uso della ragione è una capacità di analisi e di giudizio che permette di prendere decisioni basate su fatti e prove.
3. Pronto: L'uso di un telefono o di un interfono permette di essere pronti a ricevere chiamate o messaggi.
4. Fuori: L'uso di un ombrello permette di proteggersi dalla pioggia quando si è fuori casa.
5. Agitare: L'uso di un batuffolo di cotone o di un asciugamano permette di asciugare le mani dopo averle lavate.</s>"
25,"dente, strada, panda, passo, buono",gigante,"1. Dente: Il dente del gigante è un dente di mammut fossile che si trova in Siberia.
2. Strada: Il gigante della strada è un personaggio immaginario che vive in una casa sulla strada.
3. Panda: Il panda gigante è un animale in via di estinzione che vive nelle foreste della Cina.
4. Passo: Il gigante ha un passo lento e pesante.
5. Buono: Il gigante buono è un personaggio immaginario che aiuta le persone in difficoltà.</s>"
26,"verde, indagine, mandato, batti, volante",tappeto,"1. Verde: Il tappeto verde è un tappeto di erba sintetica utilizzato per coprire il terreno in alcuni sport come il golf.
2. Indagine: Il tappeto rosso è un tappeto utilizzato per accogliere le persone importanti durante le cerimonie e le manifestazioni pubbliche.
3. Mandato: Il tappeto è un oggetto che si utilizza per coprire il pavimento e per rendere più confortevole la camminata.
4. Batti: Il tappeto da battaglia è un tappeto utilizzato per allenarsi nelle arti marziali e nelle discipline di combattimento.
5. Volante: Il tappeto volante è un oggetto magico che si utilizza per volare in alcune storie e leggende.</s>"
27,"partito, tribunale, archi, solido, stradale",sezione,"1. Partito: La sezione di un partito è un gruppo di persone che condividono le stesse idee e che lavorano insieme per raggiungere un obiettivo comune.
2. Tribunale: La sezione di un tribunale è una divisione specializzata che si occupa di un determinato tipo di cause o di reati.
3. Archi: La sezione di un arco è la parte curva che si trova tra le due estremità dell'arco.
4. Solido: La sezione di un solido è la superficie che si ottiene tagliando il solido con un piano.
5. Stradale: La sezione di un'autostrada è una parte della strada che è riservata al traffico veicolare e che è separata dalle altre corsie.</s>"
28,"s.benedetto, non vedere, punta, chilowatt, adesso",ora,"1. S.Benedetto: La festa di San Benedetto si celebra il 11 luglio ed è dedicata al patrono d'Europa.
2. Non vedere: L'ora cieca è un periodo di tempo in cui non si può vedere nulla a causa dell'oscurità.
3. Punta: L'ora di punta è il momento in cui c'è il maggior numero di persone che viaggiano o che si spostano da un luogo all'altro.
4. Chilowatt: L'ora di punta è il momento in cui si consuma la maggior quantità di energia elettrica.
5. Adesso: L'ora presente è l'ora in cui ci si trova in questo momento e che dura solo un istante.</s>"
29,"montagna, abbassare, elmo, onda, spesa",cresta,"1. Montagna: La cresta di una montagna è la parte più alta e più stretta della montagna che si trova tra due valli.
2. Abbassare: La cresta di un cappello o di un elmo si abbassa per proteggere la testa e il viso dalle intemperie.
3. Elmo: La cresta di un elmo è una decorazione che si trova sulla parte superiore dell'elmo e che serve a proteggere la testa e il collo.
4. Onda: La cresta di un'onda è la parte più alta e più sporgente dell'onda che si forma quando le acque si muovono in modo ondulatorio.
5. Spesa: La cresta di una spesa è la parte più alta e più costosa della spesa che si deve affrontare per acquistare beni o servizi.</s>"
30,"vespa, hm, madonna, olanda, uva",regina,"1. Vespa: La regina vespa è la femmina dominante della colonia di vespe e che si occupa della riproduzione e della cura della prole.
2. Hm: La regina è una figura di autorità e di potere che governa un paese o un territorio.
3. Madonna: La regina dei cieli è un titolo che si attribuisce alla Madonna, la madre di Gesù Cristo.
4. Olanda: La regina dei Paesi Bassi è la sovrana che governa il paese e che rappresenta l'autorità e la tradizione del paese.
5. Uva: La regina dell'uva è un concorso che si svolge in alcune regioni vinicole per premiare la migliore uva e il miglior vino.</s>"
31,"rocce, bianco, foresta, maria, lana",vergine,"1. Rocce: La Vergine delle Rocce è un dipinto di Leonardo da Vinci che rappresenta la Madonna con il Bambino Gesù e il piccolo san Giovanni Battista.
2. Bianco: Il bianco è il colore associato alla purezza e alla verginità.
3. Foresta: La Vergine della Foresta è un dipinto di Raffaello Sanzio che rappresenta la Madonna con il Bambino Gesù e san Giovanni Battista in un paesaggio boscoso.
4. Maria: La Vergine Maria è la madre di Gesù Cristo e una figura importante nella religione cristiana.
5. Lana: La lana vergine è un tipo di lana che non è stata mescolata con altre fibre e che mantiene le sue caratteristiche naturali.</s>"
32,"bacio, sole, messa, la borsa, marzullo",mezzanotte,"1. Bacio: Il bacio di mezzanotte è un bacio che si scambia alla mezzanotte del Capodanno o di un'altra festa importante.
2. Sole: La mezzanotte è il momento in cui il sole scompare all'orizzonte e inizia la notte.
3. Messa: La messa di mezzanotte è una celebrazione religiosa che si svolge a mezzanotte della vigilia di Natale.
4. La borsa: La mezzanotte è il momento in cui si chiudono le borse e si sospendono le contrattazioni finanziarie.
5. Marzullo: Il quiz di Marzullo è un programma televisivo che si svolge in prima serata e che termina intorno alla mezzanotte.</s>"
33,"piedi, macchine, avaro, marino, metro",parco,"1. Piedi: Il parco dei piedi è un trattamento di bellezza che si effettua sui piedi per mantenerli morbidi e idratati.
2. Macchine: Il parco macchine è un luogo in cui si parcheggiano le automobili o le altre macchine.
3. Avaro: L'avaro parco è un'espressione che si usa per descrivere una persona che non spende o non investe i suoi soldi.
4. Marino: Il parco marino è un'area protetta che si trova in mare e che serve a preservare la fauna e la flora marine.
5. Metro: Il parco metropolitano è un'area verde che si trova all'interno di una città e che serve a migliorare la qualità della vita dei suoi abitanti.</s>"
34,"sapere, orecchio, gabbietta, benzina, corona",tappo,"1. Sapere: Il tappo di sapere è un'espressione che si usa per descrivere una persona che sa molte cose e che è molto colta.
2. Orecchio: Il tappo di cera nell'orecchio è un accumulo di cera che si forma nell'orecchio e che può causare problemi di udito.
3. Gabbietta: Il tappo della gabbietta è un pezzo di plastica o di metallo che serve a chiudere la gabbietta e a impedire che gli animali scappino.
4. Benzina: Il tappo della benzina è un pezzo di plastica o di metallo che serve a chiudere il serbatoio della benzina e a impedire che la benzina fuoriesca.
5. Corona: Il tappo della corona è un pezzo di metallo che serve a chiudere la corona e a impedire che l'acqua fuoriesca.</s>"
35,"sala, paura, secolo, pesto, salto",buio,"1. Sala: La sala buia è un luogo in cui si proiettano i film e in cui si crea un'atmosfera suggestiva e coinvolgente.
2. Paura: La paura del buio è un timore irrazionale che si ha quando si è al buio e che può causare ansia e disagio.
3. Secolo: Il buio del Medioevo è un'espressione che si usa per descrivere il periodo storico che va dal V al XV secolo e che è caratterizzato da un forte oscurantismo culturale e religioso.
4. Pesto: Il pesto alla genovese è un condimento a base di basilico, aglio, pinoli, formaggio e olio d'oliva che si usa per condire la pasta.
5. Salto: Il salto nel buio è un'azione che si compie quando si decide di fare qualcosa senza avere la certezza del risultato.</s>"
36,"libro, principe, testa, azione, cronoca",titolo,"1. Libro: Il titolo del libro è il nome che si dà a un'opera letteraria e che serve a identificarla e a distinguerla dalle altre opere.
2. Principe: Il Principe è un'opera di Niccolò Machiavelli che tratta della politica e della gestione del potere.
3. Testa: Il titolo di testa è un'espressione che si usa per descrivere una persona che ha autorità e che comanda.
4. Azione: Il titolo dell'azione è un'espressione che si usa per descrivere il nome che si dà a un'azione o a un'operazione.
5. Cronaca: Il titolo della cronaca è un'espressione che si usa per descrivere il nome che si dà a un articolo o a un servizio giornalistico.</s>"
37,"francese, portare, tifo, linea, mistero",fede,"1. Francese: La fede francese è un anello che si indossa al dito e che simboleggia l'amore e l'impegno tra due persone.
2. Portare: La fede nuziale è un anello che si porta al dito come simbolo di matrimonio e di fedeltà coniugale.
3. Tifo: La fede calcistica è un'espressione che si usa per descrivere la passione e l'attaccamento a una squadra di calcio.
4. Linea: La linea della fede è un'espressione che si usa per descrivere il confine tra due paesi o due territori.
5. Mistero: La fede cieca è un'espressione che si usa per descrivere una fede che non si basa sulla ragione o sulla conoscenza, ma solo sulla fede stessa.</s>"
38,"duro, avere, martello, medio, g",orecchio,"1. Duro: L'orecchio duro è un'espressione che si usa per descrivere una persona che non ascolta o che non vuole ascoltare.
2. Avere: Avere orecchie per intendere è un'espressione che si usa per descrivere una persona che ha la capacità di capire e di comprendere.
3. Martello: Il martello e l'incudine sono due strumenti che si usano per battere il metallo e per dargli una forma.
4. Medio: L'orecchio medio è una parte dell'orecchio che si trova tra l'orecchio esterno e l'orecchio interno.
5. G: L'orecchio G è un tipo di auricolare che si usa per ascoltare la musica o per parlare al telefono.</s>"
39,"orco, prato, fetonte, 652, delta",po,"1. Orco: Il po orco è un mostro che si trova nel poema epico ""Orlando Furioso"" di Ludovico Ariosto.
2. Prato: Il po prato è un tipo di poema che si ispira alla natura e alla bellezza del paesaggio.
3. Fetonte: Il po Fetonte è un poema di Esiodo che tratta della storia di Fetonte, il figlio di Apollo che guidò il carro del sole e che causò un grande disastro.
4. 652: Il po 652 è un tipo di poema che si ispira alla storia e alla cultura dell'antica Persia.
5. Delta: Il po delta è un tipo di poema che si ispira alla forma del delta di un fiume e che tratta della storia e della cultura dell'antico Egitto.</s>"
40,"mento, fortuna, sapone, voce, lampada",porta,"1. Mento: La porta del mento è un'espressione che si usa per descrivere la parte inferiore del viso, sotto il labbro inferiore.
2. Fortuna: La porta della fortuna è un'espressione che si usa per descrivere un luogo o un oggetto che porta fortuna.
3. Sapone: La porta del sapone è un'espressione che si usa per descrivere una persona che è facile da convincere o da ingannare.
4. Voce: La porta della voce è un'espressione che si usa per descrivere la capacità di una persona di parlare in pubblico e di farsi ascoltare.
5. Lampada: La porta della lampada è un'espressione che si usa per descrivere un oggetto magico che può esaudire i desideri di una persona.</s>"
41,"prova, cobra, tartaruga, goccia, elton john",occhiali,"1. Prova: Gli occhiali da prova sono un tipo di occhiali che si usano per provare la vista e per scegliere gli occhiali giusti.
2. Cobra: Gli occhiali da cobra sono un tipo di occhiali che hanno una forma particolare che ricorda la testa di un cobra.
3. Tartaruga: Gli occhiali da tartaruga sono un tipo di occhiali che hanno una montatura in tartaruga, un materiale pregiato e resistente.
4. Goccia: Gli occhiali da goccia sono un tipo di occhiali che hanno una forma a goccia e che si usano per proteggere gli occhi dal sole o dal vento.
5. Elton John: Gli occhiali di Elton John sono un'icona della musica e della moda, e sono diventati un simbolo del suo stile e della sua personalità.</s>"
42,"cinque, fiore, joe, maria, primo",maggio,"1. Cinque: Il cinque di maggio è una festa che si celebra in Messico per commemorare la vittoria delle truppe messicane su quelle francesi nella battaglia di Puebla del 1862.
2. Fiore: Il fiore di maggio è un'espressione che si usa per descrivere un fiore che fiorisce in questo mese, come il mughetto o la rosa.
3. Joe: Il maggio di Joe è un'espressione che si usa per descrivere il mese di maggio come un mese fortunato o propizio per Joe.
4. Maria: Il maggio di Maria è un'espressione che si usa per descrivere il mese di maggio come un mese dedicato alla Madonna e alla sua venerazione.
5. Primo: Il primo maggio è una festa che si celebra in molti paesi per commemorare i lavoratori e i loro diritti.</s>"
43,"frumento, rotonda, nel lazio, sottile, comunione",ostia,"1. Frumento: L'ostia di frumento è un'ostia fatta con la farina di frumento, un tipo di grano che si usa per fare il pane.
2. Rotonda: L'ostia rotonda è un'ostia che ha una forma rotonda e che si usa per la comunione.
3. Nel Lazio: L'ostia nel Lazio è un'espressione che si usa per descrivere un'ostia fatta nel Lazio, una regione dell'Italia centrale.
4. Sottile: L'ostia sottile è un'ostia che ha uno spessore molto sottile e che si usa per la comunione.
5. Comunione: L'ostia della comunione è un'ostia che si usa durante la comunione, un sacramento della Chiesa cattolica che simboleggia l'unione di Cristo con i suoi fedeli.</s>"
44,"leone, occhio, mettere, spirito, mondo",parte,"1. Leone: La parte del leone è un'espressione che si usa per descrivere una persona o una cosa che ha un ruolo importante o dominante in una situazione.
2. Occhio: La parte dell'occhio è un'espressione che si usa per descrivere la parte centrale dell'occhio, dove si trova la pupilla.
3. Mettere: Mettere una parte è un'espressione che si usa per descrivere l'atto di mettere insieme le parti di un oggetto o di un sistema.
4. Spirito: La parte dello spirito è un'espressione che si usa per descrivere la parte immateriale e invisibile di una persona, che include la mente, le emozioni e la volontà.
5. Mondo: La parte del mondo è un'espressione che si usa per descrivere una parte specifica del mondo, come un paese, una regione o una città.</s>"
45,"cuore, punto, moneta, carne, luce",debole,"1. Cuore: Il cuore debole è un'espressione che si usa per descrivere un cuore che non funziona bene o che ha bisogno di cure mediche.
2. Punto: Il punto debole è un'espressione che si usa per descrivere un punto o una zona di un oggetto o di un sistema che è più vulnerabile o meno resistente delle altre parti.
3. Moneta: La moneta debole è un'espressione che si usa per descrivere una moneta che ha un valore inferiore rispetto ad altre monete, a causa di fattori economici o politici.
4. Carne: La carne debole è un'espressione che si usa per descrivere una carne che è meno resistente o meno soda delle altre carni, a causa di fattori genetici o alimentari.
5. Luce: La luce debole è un'espressione che si usa per descrivere una luce che è meno intensa o meno luminosa delle altre luci, a causa di fattori ambientali o tecnici.</s>"
46,"fuori, triangolo, lavoro, gioco, governo",squadra,"1. Fuori: La squadra fuori è un'espressione che si usa per descrivere una squadra che gioca o che compete all'aperto, in un campo o in una strada.
2. Triangolo: La squadra del triangolo è un'espressione che si usa per descrivere una squadra di persone che lavorano insieme per formare un triangolo, un simbolo di forza e di stabilità.
3. Lavoro: La squadra di lavoro è un'espressione che si usa per descrivere un gruppo di persone che lavorano insieme per raggiungere un obiettivo comune, come la costruzione di un edificio o la produzione di un prodotto.
4. Gioco: La squadra di gioco è un'espressione che si usa per descrivere un gruppo di persone che giocano insieme a un gioco, come il calcio o il basket.
5. Governo: La squadra di governo è un'espressione che si usa per descrivere un gruppo di persone che lavorano insieme per gestire e per amministrare un paese o una regione, come il presidente, il primo ministro e i ministri.</s>"
47,"primo, tv, verso, verde, autostop",pollice,"1. Primo: Il pollice primo è un'espressione che si usa per descrivere il pollice che è alzato in segno di approvazione o di vittoria.
2. Tv: Il pollice tv è un'espressione che si usa per descrivere il pollice che si usa per cambiare il canale della televisione.
3. Verso: Il pollice verso è un'espressione che si usa per descrivere il gesto di alzare il pollice in segno di disapprovazione o di rifiuto.
4. Verde: Il pollice verde è un'espressione che si usa per descrivere una persona che ha un talento o una passione per il giardinaggio o per la coltivazione delle piante.
5. Autostop: Il pollice autostop è un'espressione che si usa per descrivere il gesto di alzare il pollice in segno di richiesta di un passaggio in auto.</s>"
48,"oggi, discesa, rosso, pieno, colombo",uovo,"1. Oggi: L'uovo oggi è un'espressione che si usa per descrivere un uovo che si mangia o che si cucina in questo giorno.
2. Discesa: L'uovo di discesa è un'espressione che si usa per descrivere un uovo che si lancia o che si fa rotolare giù da una collina o da una rampa.
3. Rosso: L'uovo rosso è un'espressione che si usa per descrivere un uovo che ha un guscio rosso o che è stato colorato di rosso.
4. Pieno: L'uovo pieno è un'espressione che si usa per descrivere un uovo che ha un interno sodo e consistente, a differenza di un uovo vuoto o molle.
5. Colombo: L'uovo di Colombo è un'espressione che si usa per descrivere una soluzione o una scoperta ovvia e semplice, che era stata trascurata o sottovalutata fino a quel momento.</s>"
49,"mai, chiuso, pericolo, metti, umano",caso,"1. Mai: Il caso mai è un'espressione che si usa per descrivere una situazione o un evento che potrebbe accadere in futuro, ma che non è probabile o che non è desiderato.
2. Chiuso: Il caso chiuso è un'espressione che si usa per descrivere un caso o una situazione che è stata risolta o che è stata archiviata, e che non richiede ulteriori indagini o azioni.
3. Pericolo: Il caso pericolo è un'espressione che si usa per descrivere una situazione o un evento che potrebbe causare danni o lesioni a una persona o a un oggetto, e che richiede attenzione o intervento.
4. Metti: Il caso metti è un'espressione che si usa per descrivere una situazione o un evento che è incerto o che è soggetto a variazioni, e che richiede una decisione o un'azione da parte di una persona.
5. Umano: Il caso umano è un'espressione che si usa per descrivere una persona che ha bisogno di aiuto o di assistenza, a causa di una malattia, di un incidente o di una difficoltà.</s>"
